COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000003,7,24/01/2015 09,24/01/2015 10,9,ug/m3
2000003,7,24/01/2015 10,24/01/2015 11,22,ug/m3
2000003,7,24/01/2015 11,24/01/2015 12,23,ug/m3
2000003,7,24/01/2015 12,24/01/2015 13,23,ug/m3
2000003,7,24/01/2015 13,24/01/2015 14,26,ug/m3
2000003,7,24/01/2015 14,24/01/2015 15,30,ug/m3
2000003,7,24/01/2015 15,24/01/2015 16,31,ug/m3
2000003,7,24/01/2015 16,24/01/2015 17,28,ug/m3
2000003,7,24/01/2015 17,24/01/2015 18,9,ug/m3
2000003,7,24/01/2015 18,24/01/2015 19,3,ug/m3
2000003,7,24/01/2015 19,24/01/2015 20,3,ug/m3
2000003,7,24/01/2015 20,24/01/2015 21,4,ug/m3
2000003,7,24/01/2015 21,24/01/2015 22,3,ug/m3
2000003,7,24/01/2015 22,24/01/2015 23,4,ug/m3
2000003,7,24/01/2015 23,25/01/2015 00,11,ug/m3
2000003,7,25/01/2015 00,25/01/2015 01,12,ug/m3
2000003,7,25/01/2015 01,25/01/2015 02,13,ug/m3
2000003,7,25/01/2015 03,25/01/2015 04,14,ug/m3
2000003,7,25/01/2015 04,25/01/2015 05,11,ug/m3
2000003,7,25/01/2015 05,25/01/2015 06,10,ug/m3
2000003,7,25/01/2015 06,25/01/2015 07,7,ug/m3
2000003,7,25/01/2015 07,25/01/2015 08,4,ug/m3
2000003,7,25/01/2015 08,25/01/2015 09,4,ug/m3
2000003,7,25/01/2015 09,25/01/2015 10,10,ug/m3
2000003,7,25/01/2015 10,25/01/2015 11,20,ug/m3
2000003,7,25/01/2015 11,25/01/2015 12,33,ug/m3
2000003,7,25/01/2015 12,25/01/2015 13,39,ug/m3
2000003,7,25/01/2015 13,25/01/2015 14,39,ug/m3
2000003,7,25/01/2015 14,25/01/2015 15,43,ug/m3
2000003,7,25/01/2015 15,25/01/2015 16,41,ug/m3
2000003,7,25/01/2015 16,25/01/2015 17,34,ug/m3
2000003,7,25/01/2015 17,25/01/2015 18,12,ug/m3
2000003,7,25/01/2015 18,25/01/2015 19,3,ug/m3
