refdate,pm10
2011-12-31,50.0000000
2012-01-01,73.0000000
2012-01-02,89.0000000
2012-01-03,47.0000000
2012-01-04,49.0000000
2012-01-05,48.0000000
2012-01-06,9.0000000
2012-01-07,38.0000000
2012-01-08,45.0000000
2012-01-09,69.0000000
2012-01-10,60.0000000
2012-01-11,86.0000000
2012-01-12,79.0000000
2012-01-13,90.0000000
2012-01-14,82.0000000
2012-01-15,71.0000000
2012-01-16,83.0000000
2012-01-17,90.0000000
2012-01-18,72.0000000
2012-01-19,76.0000000
2012-01-20,90.0000000
2012-01-21,66.0000000
2012-01-22,88.0000000
2012-01-23,129.0000000
2012-01-24,87.0000000
2012-01-25,63.0000000
2012-01-26,82.0000000
2012-01-27,95.0000000
2012-01-28,79.0000000
2012-01-29,52.0000000
2012-01-30,60.0000000
2012-01-31,45.0000000
2012-02-01,56.0000000
2012-02-02,55.0000000
2012-02-03,55.0000000
2012-02-04,50.0000000
2012-02-05,72.0000000
2012-02-06,75.0000000
2012-02-07,75.0000000
2012-02-08,94.0000000
2012-02-09,102.0000000
2012-02-10,76.0000000
2012-02-11,69.0000000
2012-02-12,65.0000000
2012-02-13,70.0000000
2012-02-14,89.0000000
2012-02-15,56.0000000
2012-02-16,136.0000000
2012-02-17,139.0000000
2012-02-18,124.0000000
2012-02-19,246.0000000
2012-02-20,70.0000000
2012-02-21,52.0000000
2012-02-22,63.0000000
2012-02-23,64.0000000
2012-02-24,74.0000000
2012-02-25,64.0000000
2012-02-26,61.0000000
2012-02-27,58.0000000
2012-02-28,64.0000000
2012-02-29,97.0000000
2012-03-01,132.0000000
2012-03-02,82.0000000
2012-03-03,54.0000000
2012-03-04,40.0000000
2012-03-05,58.0000000
2012-03-06,52.0000000
2012-03-07,73.0000000
2012-03-08,85.0000000
2012-03-09,64.0000000
2012-03-10,41.0000000
2012-03-11,39.0000000
2012-03-12,73.0000000
2012-03-13,46.0000000
2012-03-14,67.0000000
2012-03-15,96.0000000
2012-03-16,103.0000000
2012-03-17,81.0000000
2012-03-18,48.0000000
2012-03-19,43.0000000
2012-03-20,41.0000000
2012-03-21,59.0000000
2012-03-22,71.0000000
2012-03-23,60.0000000
2012-03-24,71.0000000
2012-03-25,49.0000000
2012-03-26,54.0000000
2012-03-27,47.0000000
2012-03-28,49.0000000
2012-03-29,30.0000000
2012-03-30,21.0000000
2012-03-31,35.0000000
2012-04-01,37.0000000
2012-04-02,38.0000000
2012-04-03,46.0000000
2012-04-05,50.0000000
2012-04-06,26.0000000
2012-04-07,15.0000000
2012-04-08,24.0000000
2012-04-09,20.0000000
2012-04-10,37.0000000
2012-04-11,29.0000000
2012-04-12,14.0000000
2012-04-13,22.0000000
2012-04-14,18.0000000
2012-04-15,15.0000000
2012-04-16,24.0000000
2012-04-17,16.0000000
2012-04-18,21.0000000
2012-04-19,9.0000000
2012-04-20,13.0000000
2012-04-21,20.0000000
2012-04-22,18.0000000
2012-04-23,18.0000000
2012-04-24,15.0000000
2012-04-25,21.0000000
2012-04-26,25.0000000
2012-04-27,40.0000000
2012-04-28,41.0000000
2012-04-29,53.0000000
2012-04-30,29.0000000
2012-05-01,32.0000000
2012-05-02,20.0000000
2012-05-03,16.0000000
2012-05-04,21.0000000
2012-05-05,17.0000000
2012-05-06,15.0000000
2012-05-07,23.0000000
2012-05-08,29.0000000
2012-05-09,32.0000000
2012-05-10,37.0000000
2012-05-11,40.0000000
2012-05-12,27.0000000
2012-05-13,12.0000000
2012-05-14,18.0000000
2012-05-15,18.0000000
2012-05-16,21.0000000
2012-05-18,28.0000000
2012-05-19,30.0000000
2012-05-20,44.0000000
2012-05-21,15.0000000
2012-05-22,23.0000000
2012-05-23,21.0000000
2012-05-24,33.0000000
2012-05-25,35.0000000
2012-05-26,31.0000000
2012-05-27,24.0000000
2012-05-28,26.0000000
2012-05-29,25.0000000
